,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_l2_regularization,perf_best_val_accuracy,hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,hyperparam_l2_regularization_x_is_parallel
energy_cpu_pkg_joules,0.0,0.45999998,0.52,0.48,0.14,0.24,0.59999996,0.22,0.06,0.16,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_cpu_ram_joules,0.42,0.0,0.45999998,0.64,0.35999998,0.48,0.19999999,0.35999998,0.12,0.06,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
energy_cpu_total_joules,0.44,0.44,0.0,0.52,0.19999999,0.17999999,0.64,0.26,0.099999994,0.04,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_avg_watts,0.02,0.19999999,0.04,0.0,0.16,0.04,0.04,0.19999999,0.08,0.02,0.04,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.02,0.0
energy_gpu_max_watts,0.04,0.099999994,0.02,0.26,0.0,0.24,0.099999994,0.22,0.12,0.35999998,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0
energy_gpu_min_watts,0.04,0.16,0.08,0.04,0.42,0.0,0.08,0.02,0.04,0.35999998,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_total_joules,0.22,0.0,0.12,0.02,0.02,0.04,0.0,0.04,0.04,0.06,0.0,0.04,0.0,0.099999994,0.0,0.0,0.0,0.0,0.0,0.099999994,0.0
energy_gpu_temp_avg_celsius,0.04,0.22,0.0,0.42,0.48,0.04,0.099999994,0.0,0.56,0.16,0.14,0.0,0.0,0.02,0.28,0.0,0.0,0.0,0.0,0.02,0.0
energy_gpu_temp_max_celsius,0.04,0.14,0.04,0.32,0.19999999,0.02,0.08,0.42,0.0,0.12,0.44,0.099999994,0.0,0.08,0.29999998,0.0,0.0,0.0,0.0,0.04,0.0
energy_gpu_util_avg_percent,0.06,0.08,0.06,0.38,0.56,0.44,0.04,0.08,0.08,0.0,0.7,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_util_max_percent,0.0,0.02,0.0,0.099999994,0.02,0.12,0.0,0.12,0.04,0.28,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0
is_parallel,0.0,0.06,0.06,0.06,0.08,0.12,0.0,0.19999999,0.08,0.22,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.59999996,0.0
hyperparam_learning_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.12,0.17999999,0.22,0.04,0.0
hyperparam_epochs,0.14,0.12,0.08,0.65999997,0.12,0.17999999,0.78,0.45999998,0.19999999,0.16,0.099999994,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.35999998,0.0
hyperparam_seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perf_test_accuracy,0.0,0.0,0.0,0.04,0.16,0.0,0.42,0.0,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_l2_regularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45999998,0.0,0.0,0.53999996
perf_best_val_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.12
hyperparam_learning_rate_x_is_parallel,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.099999994,0.06,0.08,0.16,0.35999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0
hyperparam_epochs_x_is_parallel,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.08,0.08,0.17999999,0.35999998,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0
hyperparam_l2_regularization_x_is_parallel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.19999999,0.0,0.0,0.0
